BAFU name,BAFU category,Ecoinvent name,Ecoinvent category
(Aminooxy)(hydroxy)sulfane dioxide,"('soil', 'industrial')",,
1-Butanol,"('water', 'surface water')",Butanol,
1-Butanol,"('air', 'non-urban air or from high stacks')",Butanol,
1-Butanol,"('air', 'urban air close to ground')",Butanol,
1-Butanol,"('air',)",Butanol,
1-Methyl-2-pyrrolidinone,"('air',)",,
1-Propanol,"('water', 'surface water')",Propanol,
1-Propanol,"('air', 'urban air close to ground')",Propanol,
1-Propanol,"('air',)",Propanol,
"2-Butene, 2-methyl-","('water', 'surface water')",2-Methyl-2-butene,
"2-Butene, 2-methyl-","('air', 'urban air close to ground')",2-Methyl-2-butene,
"2-Butene, 2-methyl-","('air',)",2-Methyl-2-butene,
2-Methyl-4-chlorophenoxyacetic acid,"('soil', 'agricultural')",,
"4,4'-Biphenol","('air',)",,
Acetochlor,"('air',)",,
Acetochlor,"('water', 'surface water')",,
"Acetylene, dichloro-","('air', 'urban air close to ground')",,
"Acetylene, dichloro-","('air',)",,
"Acidity, unspecified","('air',)",,
"Acidity, unspecified","('soil', 'industrial')",,
Air,"('natural resource', 'in air')",,
Alachlor,"('water', 'surface water')",,
Aluminium,"('water', 'ground-')",Aluminium III,
Aluminium,"('air', 'low population density, long-term')",Aluminium III,
Aluminium,"('soil', 'agricultural')",Aluminium III,
Aluminium,"('soil', 'industrial')",Aluminium III,
Aluminium,"('water', 'ocean')",Aluminium III,
Aluminium,"('water', 'surface water')",Aluminium III,
Aluminium,"('air', 'non-urban air or from high stacks')",Aluminium III,
Aluminium,"('soil',)",Aluminium III,
Aluminium,"('air', 'urban air close to ground')",Aluminium III,
Aluminium,"('water', 'ground-, long-term')",Aluminium III,
Aluminium,"('air',)",Aluminium III,
Aluminium,"('water',)",Aluminium III,
"Aluminium, resource correction","('resources',)",Aluminium,"('natural resource', 'in ground')"
"Aluminium, resource correction","('natural resource', 'in ground')",Aluminium,
"Ammonium, ion","('water',)",Ammonium,
"Ammonium, ion","('water', 'ground-, long-term')",Ammonium,
"Ammonium, ion","('water', 'ground-')",Ammonium,
"Ammonium, ion","('water', 'surface water')",Ammonium,
"Ammonium, ion","('water', 'ocean')",Ammonium,
Anthracene,"('air', 'urban air close to ground')",,"('air',)"
Antimony,"('air', 'non-urban air or from high stacks')",Antimony ion,
Antimony,"('water',)",Antimony ion,
Antimony,"('water', 'ground-, long-term')",Antimony ion,
Antimony,"('water', 'ground-')",Antimony ion,
Antimony,"('air',)",Antimony ion,
Antimony,"('soil', 'industrial')",Antimony ion,
Antimony,"('air', 'low population density, long-term')",Antimony ion,
Antimony,"('water', 'surface water')",Antimony ion,
Antimony,"('soil', 'agricultural')",Antimony ion,
Antimony,"('soil',)",Antimony ion,
Antimony,"('air', 'urban air close to ground')",Antimony ion,
"AOX, Adsorbable Organic Halogen as Cl","('water', 'ocean')","AOX, Adsorbable Organic Halogen",
"AOX, Adsorbable Organic Halogen as Cl","('water', 'surface water')","AOX, Adsorbable Organic Halogen",
"AOX, Adsorbable Organic Halogen as Cl","('water',)","AOX, Adsorbable Organic Halogen",
Argon,"('air',)",Argon-40,
Arsenic,"('air', 'low population density, long-term')",Arsenic ion,
Arsenic,"('soil', 'agricultural')",Arsenic ion,
Arsenic,"('soil',)",Arsenic ion,
Arsenic,"('air', 'urban air close to ground')",Arsenic ion,
Arsenic,"('water', 'ocean')",Arsenic ion,
Arsenic,"('water', 'surface water')",Arsenic ion,
Arsenic,"('air', 'non-urban air or from high stacks')",Arsenic ion,
Arsenic,"('water', 'ground-, long-term')",Arsenic ion,
Arsenic,"('air',)",Arsenic ion,
Arsenic,"('water',)",Arsenic ion,
Arsenic,"('soil', 'industrial')",Arsenic ion,
Arsenic,"('water', 'ground-')",Arsenic ion,
Arsenic trioxide,"('air',)",,
Arsenic V,"('soil', 'industrial')",,
"Arsenic, ion","('air',)",Arsenic ion,
Atrazine,"('air',)",,
Azadirachtin A+B,"('soil', 'agricultural')",,
Barite,"('natural resource', 'in ground')","Barite, 15% in crude ore",
Barium,"('air', 'urban air close to ground')",Barium II,
Barium,"('water', 'ground-, long-term')",Barium II,
Barium,"('air',)",Barium II,
Barium,"('water',)",Barium II,
Barium,"('soil', 'industrial')",Barium II,
Barium,"('water', 'ground-')",Barium II,
Barium,"('air', 'low population density, long-term')",Barium II,
Barium,"('soil', 'agricultural')",Barium II,
Barium,"('soil',)",Barium II,
Barium,"('water', 'ocean')",Barium II,
Barium,"('water', 'surface water')",Barium II,
Barium,"('air', 'non-urban air or from high stacks')",Barium II,
Basalt,"('natural resource', 'biotic')",Basalt,"('natural resource', 'in ground')"
Basalt,"('natural resource', 'in air')",Basalt,"('natural resource', 'in ground')"
Bauxite,"('natural resource', 'in ground')","Aluminium, 24% in bauxite, 11% in crude ore",
Benomyl,"('air',)",,
Benomyl,"('water', 'surface water')",,
Benzene (as BTEX),"('water',)",,
"Benzene, 1-methyl-2-nitro-","('air', 'urban air close to ground')",,
"Benzene, 1,2-dichloro-","('air', 'urban air close to ground')","1,2-Dichlorobenzene",
"Benzene, 1,2-dichloro-","('water', 'surface water')","1,2-Dichlorobenzene",
"Benzene, 1,2-dichloro-","('water',)","1,2-Dichlorobenzene",
"Benzene, 1,2,4-trimethyl-","('air',)",,
"Benzene, chloro-","('air',)","Benzene, chloro-",
"Benzene, dichloro-","('air', 'urban air close to ground')",,
"Benzene, hexachloro-","('water', 'surface water')","Benzene, hexachloro-",
"Benzene, pentachloro-","('water', 'surface water')","Benzene, pentachloro-",
"Benzene, pentachloronitro-","('soil', 'agricultural')",,
Benzo(a)anthracene,"('water', 'ocean')",,
Benzo(a)anthracene,"('air',)",,
Benzo(a)anthracene,"('water', 'surface water')",,
"Benzo(g,h,i)perylene","('air',)",,
Beryllium,"('air', 'low population density, long-term')",Beryllium II,
Beryllium,"('water', 'surface water')",Beryllium II,
Beryllium,"('air', 'urban air close to ground')",Beryllium II,
Beryllium,"('water', 'ocean')",Beryllium II,
Beryllium,"('air', 'non-urban air or from high stacks')",Beryllium II,
Beryllium,"('water',)",Beryllium II,
Beryllium,"('water', 'ground-, long-term')",Beryllium II,
Beryllium,"('air',)",Beryllium II,
Beryllium,"('soil', 'industrial')",Beryllium II,
Beryllium,"('water', 'ground-')",Beryllium II,
Biphenyl,"('air',)",,
Black carbon,"('air',)",,
Bromide,"('soil', 'industrial')",,
"Butadiene, hexachloro-","('water', 'surface water')",,
"Butadiene, hexachloro-","('water',)",,
"Butane, perfluorocyclo-, PFC-318","('air', 'urban air close to ground')",,
Cadmium,"('water', 'ground-, long-term')",Cadmium II,
Cadmium,"('water', 'ground-')",Cadmium II,
Cadmium,"('air',)",Cadmium II,
Cadmium,"('soil', 'industrial')",Cadmium II,
Cadmium,"('air', 'lower stratosphere + upper troposphere')",Cadmium II,
Cadmium,"('air', 'low population density, long-term')",Cadmium II,
Cadmium,"('water', 'surface water')",Cadmium II,
Cadmium,"('soil', 'agricultural')",Cadmium II,
Cadmium,"('soil',)",Cadmium II,
Cadmium,"('air', 'urban air close to ground')",Cadmium II,
Cadmium,"('water', 'ocean')",Cadmium II,
Cadmium,"('air', 'non-urban air or from high stacks')",Cadmium II,
Cadmium,"('water',)",Cadmium II,
Calcium,"('water', 'surface water')",Calcium II,
Calcium,"('water', 'ocean')",Calcium II,
Calcium,"('water',)",Calcium II,
Calcium,"('water', 'ground-, long-term')",Calcium II,
Calcium,"('water', 'ground-')",Calcium II,
Calcium chloride,"('natural resource', 'in ground')",,
Caprolactam,"('air',)",,
Carbon,"('water', 'ground-')",,
Carbon,"('air', 'urban air close to ground')",,
Carbon black,"('air',)",,
Carbon dioxide,"('air', 'non-urban air or from high stacks')","Carbon dioxide, fossil",
Carbon dioxide,"('air',)","Carbon dioxide, fossil",
"Carbon dioxide, biogenic","('air', 'non-urban air or from high stacks')","Carbon dioxide, non-fossil",
"Carbon dioxide, biogenic","('air', 'urban air close to ground')","Carbon dioxide, non-fossil",
"Carbon dioxide, biogenic","('air',)","Carbon dioxide, non-fossil",
"Carbon dioxide, in air","('resources',)","Carbon dioxide, in air","('natural resource', 'in air')"
"Carbon dioxide, in air","('natural resource', 'biotic')","Carbon dioxide, in air","('natural resource', 'in air')"
"Carbon dioxide, land transformation","('air', 'non-urban air or from high stacks')","Carbon dioxide, from soil or biomass stock",
"Carbon dioxide, land transformation","('air',)","Carbon dioxide, from soil or biomass stock",
Carbon monoxide,"('air',)","Carbon monoxide, fossil",
"Carbon monoxide, biogenic","('air', 'urban air close to ground')","Carbon monoxide, non-fossil",
"Carbon monoxide, biogenic","('air', 'non-urban air or from high stacks')","Carbon monoxide, non-fossil",
"Carbon monoxide, biogenic","('air',)","Carbon monoxide, non-fossil",
Cerium,"('water', 'surface water')",Cerium-144,
Cesium,"('water', 'surface water')",Caesium,
Cesium,"('water', 'ocean')",Caesium,
Cesium-134,"('air',)",Caesium-134,
Cesium-134,"('water',)",Caesium-134,
Cesium-134,"('water', 'ocean')",Caesium-134,
Cesium-134,"('water', 'surface water')",Caesium-134,
Cesium-134,"('air', 'non-urban air or from high stacks')",Caesium-134,
Cesium-136,"('water', 'surface water')",Caesium-136,
Cesium-137,"('water', 'ocean')",Caesium-137,
Cesium-137,"('water', 'surface water')",Caesium-137,
Cesium-137,"('air', 'non-urban air or from high stacks')",Caesium-137,
Cesium-137,"('air',)",Caesium-137,
Cesium-137,"('water',)",Caesium-137,
Chemically polluted water,"('water', 'surface water')",,
Chloride,"('air',)",,
Chlorine,"('soil', 'industrial')",,
Chlorine dioxide,"('air',)",,
Chromium,"('water', 'ocean')",Chromium VI,
Chromium,"('air', 'non-urban air or from high stacks')",Chromium VI,
Chromium,"('water',)",Chromium VI,
Chromium,"('water', 'ground-')",Chromium VI,
Chromium,"('air',)",Chromium VI,
Chromium,"('soil', 'industrial')",Chromium VI,
Chromium,"('air', 'lower stratosphere + upper troposphere')",Chromium VI,
Chromium,"('water', 'surface water')",Chromium VI,
Chromium,"('soil', 'agricultural')",Chromium VI,
Chromium,"('soil',)",Chromium VI,
Chromium,"('air', 'urban air close to ground')",Chromium VI,
"Chromium, resource correction","('natural resource', 'in ground')",Chromium,
Chrysene,"('water', 'ocean')",,"('water', 'surface water')"
Clay,"('natural resource', 'in ground')","Clay, unspecified",
"Coal, hard","('natural resource', 'in ground')","Coal, hard, unspecified",
Cobalt,"('soil', 'industrial')",Cobalt II,
Cobalt,"('water', 'surface water')",Cobalt II,
Cobalt,"('soil', 'agricultural')",Cobalt II,
Cobalt,"('soil',)",Cobalt II,
Cobalt,"('air', 'urban air close to ground')",Cobalt II,
Cobalt,"('water', 'ocean')",Cobalt II,
Cobalt,"('water', 'ground-, long-term')",Cobalt II,
Cobalt,"('air', 'non-urban air or from high stacks')",Cobalt II,
Cobalt,"('air',)",Cobalt II,
Cobalt,"('water',)",Cobalt II,
Cobalt,"('water', 'ground-')",Cobalt II,
Cobalt,"('air', 'low population density, long-term')",Cobalt II,
Copper,"('water', 'ocean')",Copper ion,
Copper,"('water', 'surface water')",Copper ion,
Copper,"('air', 'non-urban air or from high stacks')",Copper ion,
Copper,"('air', 'urban air close to ground')",Copper ion,
Copper,"('water', 'ground-, long-term')",Copper ion,
Copper,"('air',)",Copper ion,
Copper,"('water',)",Copper ion,
Copper,"('soil', 'industrial')",Copper ion,
Copper,"('air', 'lower stratosphere + upper troposphere')",Copper ion,
Copper,"('water', 'ground-')",Copper ion,
Copper,"('air', 'low population density, long-term')",Copper ion,
Copper,"('soil', 'agricultural')",Copper ion,
Copper,"('soil',)",Copper ion,
"Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore","('natural resource', 'in ground')","Copper, Cu 0.2%, in mixed ore",
"Copper, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore","('natural resource', 'in ground')","Copper, Cu 0.2%, in mixed ore",
"Copper, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore","('natural resource', 'in ground')","Copper, Cu 0.2%, in mixed ore",
"Copper, resource correction","('natural resource', 'in ground')",Copper,
Cresol,"('water', 'surface water')",,
Cresol,"('water', 'ocean')",,
Cyfluthrin,"('soil', 'agricultural')",,
Decane,"('water', 'ocean')",,
Decane,"('water', 'surface water')",,
Decane,"('soil', 'industrial')",,
Deltamethrin,"('water', 'surface water')",,
Dicamba,"('air',)",,
Dimethenamid,"('air',)",,
Dimethyl formamide,"('air',)",,
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-","('air', 'non-urban air or from high stacks')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-","('air',)","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-","('water',)","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-","('water', 'surface water')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-","('air', 'urban air close to ground')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",
Dipropylthiocarbamic acid S-ethyl ester,"('soil', 'agricultural')",,
Disodium acid methane arsenate,"('soil', 'agricultural')",,
Dithianone,"('soil', 'agricultural')",,
"Energy, from coal","('natural resource', 'in ground')",,
"Energy, from coal, brown","('natural resource', 'in ground')",,
"Energy, from hydro power","('natural resource', 'in water')","Energy, potential (in hydropower reservoir), converted",
"Energy, from oil","('resources',)",,
"Energy, from peat","('natural resource', 'in ground')",,
"Energy, from uranium","('natural resource', 'in ground')",,
"Energy, geothermal, converted","('natural resource', 'biotic')",,
"Energy, gross calorific value, in biomass","('natural resource', 'biotic')","Energy, gross calorific value, in biomass",
"Energy, gross calorific value, in biomass","('natural resource', 'biotic')","Energy, gross calorific value, in biomass",
"Energy, gross calorific value, in biomass, resource correction","('natural resource', 'biotic')","Energy, gross calorific value, in biomass",
"Energy, gross calorific value, in biomass, resource correction","('natural resource', 'biotic')","Energy, gross calorific value, in biomass",
"Energy, waste heat, air","('natural resource', 'in air')",,
"Ethane, 1,1-dichloro-","('air',)","Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b",
"Ethane, 1,1-dichloro-","('water',)","Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b",
"Ethane, 1,1,2-trifluoro-, HFC-143","('air',)","Ethane, 1,1,1-trifluoro-, HFC-143a",
"Ethane, 1,1,2,2-tetrachloro-","('air',)","Ethane, 1,1,2-trichloro-",
"Ethane, 1,1,2,2-tetrachloro-","('water', 'surface water')","Ethane, 1,1,2-trichloro-",
"Ethane, 1,1,2,2-tetrachloro-","('water',)","Ethane, 1,1,2-trichloro-",
"Ethane, 1,2-dibromo-","('water', 'surface water')",,
"Ethane, chloro-","('air', 'urban air close to ground')",,
"Ethane, chloro-","('air',)",,
"Ethane, chloro-","('water',)",,
"Ethane, chloro-","('water', 'surface water')",,
"Ethanol, 2-ethoxy-","('water', 'surface water')",,
"Ethanol, 2-ethoxy-","('air', 'urban air close to ground')",,
Ethene,"('air',)",,
Ethene,"('air', 'lower stratosphere + upper troposphere')",,
Ethene,"('water', 'surface water')",,
Ethene,"('air', 'urban air close to ground')",,
Ethene,"('air', 'non-urban air or from high stacks')",,
Ethene,"('water',)",,
"Ethene, 1,1-dichloro-","('air',)",,
"Ethene, 1,2-dichloro-","('air',)",,
"Ethene, chloro-","('air', 'urban air close to ground')",,
"Ethene, chloro-","('air',)",,
"Ethene, chloro-","('water',)",,
"Ethene, chloro-","('water', 'surface water')",,
"Ethene, tetrachloro-","('water', 'ocean')",,
"Ethene, tetrachloro-","('water', 'surface water')",,
"Ethene, tetrachloro-","('air', 'non-urban air or from high stacks')",,
"Ethene, tetrachloro-","('water',)",,
"Ethene, tetrachloro-","('air',)",,
"Ethene, tetrachloro-","('air', 'urban air close to ground')",,
"Ethene, trichloro-","('air',)",,
"Ethene, trichloro-","('water',)",,
Ethylene glycol,"('air',)",,
Fipronil,"('water', 'surface water')",,
Fluoranthene,"('water', 'ocean')",,
Fluoride,"('air', 'urban air close to ground')",,
Fluoride,"('air',)",,
"Gas, mine, off-gas, process, coal mining/m3","('natural resource', 'in ground')","Gas, mine, off-gas, process, coal mining",
"Gas, natural/m3","('natural resource', 'in ground')","Gas, natural",
Glyphosate,"('air',)","('air', 'non-urban air or from high stacks')",
"Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore","('natural resource', 'in ground')","Gold, Au 9.7E-4%, in mixed ore",
"Gravel, resource correction","('natural resource', 'in ground')",Gravel,
Helium,"('natural resource', 'in ground')","Helium, in natural gas",
Hexamethylene diamine,"('air',)",,
"Hydrocarbons, unspecified","('air',)",,"('air', 'non-urban air or from high stacks')"
Hydrogen bromide,"('air',)",,
Hydrogen chloride,"('air',)",,
Hydrogen chloride,"('air', 'lower stratosphere + upper troposphere')",,
Hydrogen chloride,"('water', 'surface water')",,
Hydrogen chloride,"('air', 'non-urban air or from high stacks')",,
Hydrogen chloride,"('air', 'urban air close to ground')",,
Hydrogen cyanide,"('air',)",,
Hydrogen cyanide,"('water', 'surface water')",,
Hydrogen fluoride,"('water', 'surface water')",,
Hydrogen iodide,"('air',)",,
Iridium,"('resources',)",,"('natural resource', 'in ground')"
Iron,"('soil', 'industrial')",Iron ion,
Iron,"('water', 'surface water')",Iron ion,
Iron,"('soil', 'agricultural')",Iron ion,
Iron,"('air', 'non-urban air or from high stacks')",Iron ion,
Iron,"('soil',)",Iron ion,
Iron,"('air', 'urban air close to ground')",Iron ion,
Iron,"('water', 'ocean')",Iron ion,
Iron,"('water', 'ground-, long-term')",Iron ion,
Iron,"('air',)",Iron ion,
Iron,"('water',)",Iron ion,
Iron,"('water', 'ground-')",Iron ion,
Iron,"('air', 'low population density, long-term')",Iron ion,
"Iron, ion","('water',)",Iron ion,
"Iron, resource correction","('natural resource', 'in ground')",Iron,
"Iron, resource correction","('resources',)",Iron,"('resources',)"
Isobutane,"('air',)",,
Isobutene,"('air',)",,
Kerosene,"('air', 'urban air close to ground')",,
Lead,"('water',)",Lead II,
Lead,"('water', 'ground-')",Lead II,
Lead,"('air', 'low population density, long-term')",Lead II,
Lead,"('soil', 'industrial')",Lead II,
Lead,"('air', 'lower stratosphere + upper troposphere')",Lead II,
Lead,"('water', 'surface water')",Lead II,
Lead,"('soil', 'agricultural')",Lead II,
Lead,"('soil',)",Lead II,
Lead,"('air', 'urban air close to ground')",Lead II,
Lead,"('water', 'ocean')",Lead II,
Lead,"('water', 'ground-, long-term')",Lead II,
Lead,"('air', 'non-urban air or from high stacks')",Lead II,
Lead,"('air',)",Lead II,
Lead dioxide,"('air',)",,
"Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore","('natural resource', 'in ground')","Lead, Pb 0.014%, in mixed ore",
"Lead, resource correction","('natural resource', 'in ground')",Lead,
Lithium,"('water', 'surface water')",Lithium I,
Lithium,"('soil',)",Lithium I,
Lithium,"('air', 'urban air close to ground')",Lithium I,
Lithium,"('water', 'ocean')",Lithium I,
Lithium,"('water',)",Lithium I,
Lithium,"('water', 'ground-')",Lithium I,
m-Cresol,"('air',)",,
Magnesium chloride,"('natural resource', 'in ground')",,
Mancozeb,"('water', 'surface water')",,"('water', 'ground-')"
Manganese,"('water', 'ground-')",Manganese II,
Manganese,"('air', 'low population density, long-term')",Manganese II,
Manganese,"('soil', 'industrial')",Manganese II,
Manganese,"('water', 'surface water')",Manganese II,
Manganese,"('soil', 'agricultural')",Manganese II,
Manganese,"('air', 'non-urban air or from high stacks')",Manganese II,
Manganese,"('soil',)",Manganese II,
Manganese,"('air', 'urban air close to ground')",Manganese II,
Manganese,"('water', 'ocean')",Manganese II,
Manganese,"('water', 'ground-, long-term')",Manganese II,
Manganese,"('air',)",Manganese II,
Manganese,"('water',)",Manganese II,
Mercury,"('air', 'non-urban air or from high stacks')",Mercury II,
Mercury,"('soil',)",Mercury II,
Mercury,"('air', 'urban air close to ground')",Mercury II,
Mercury,"('water', 'ocean')",Mercury II,
Mercury,"('water', 'ground-, long-term')",Mercury II,
Mercury,"('air',)",Mercury II,
Mercury,"('water',)",Mercury II,
Mercury,"('air', 'lower stratosphere + upper troposphere')",Mercury II,
Mercury,"('water', 'ground-')",Mercury II,
Mercury,"('air', 'low population density, long-term')",Mercury II,
Mercury,"('soil', 'agricultural')",Mercury II,
Mercury,"('soil', 'industrial')",Mercury II,
Mercury,"('water', 'surface water')",Mercury II,
Metaldehyde (tetramer),"('soil', 'agricultural')",,
"Metals, unspecified","('air',)",,
Metam-sodium dihydrate,"('soil', 'agricultural')",,
"Metamorphous rock, graphite containing","('natural resource', 'in ground')",,
"Methane, biogenic","('air', 'non-urban air or from high stacks')","Methane, non-fossil",
"Methane, biogenic","('air', 'urban air close to ground')","Methane, non-fossil",
"Methane, biogenic","('air',)","Methane, non-fossil",
"Methane, monochloro-, R-40","('water',)","Methane, monochloro-, R-40",
"Methane, monochloro-, R-40","('water', 'surface water')","Methane, monochloro-, R-40",
"Methane, tetrachloro-, CFC-10","('water', 'surface water')","Methane, tetrachloro-, R-10",
"Methane, tetrachloro-, CFC-10","('air', 'urban air close to ground')","Methane, tetrachloro-, R-10",
"Methane, tetrachloro-, CFC-10","('air',)","Methane, tetrachloro-, R-10",
"Methane, tetrachloro-, CFC-10","('water',)","Methane, tetrachloro-, R-10",
"Methane, tetrafluoro-, CFC-14","('air',)","Methane, tetrafluoro-, R-14",
"Methane, tetrafluoro-, CFC-14","('air', 'urban air close to ground')","Methane, tetrafluoro-, R-14",
Methomyl,"('air',)",,"('air', 'non-urban air or from high stacks')"
Methyl mercaptan,"('air',)",,
Methyl methacrylate,"('air',)",,
Methyl pentane,"('water', 'surface water')","2,2,4-Trimethyl pentane",
Metiram,"('soil', 'agricultural')",,
Molybdenum,"('water', 'surface water')",Molybdenum VI,
Molybdenum,"('soil', 'agricultural')",Molybdenum VI,
Molybdenum,"('air', 'non-urban air or from high stacks')",Molybdenum VI,
Molybdenum,"('soil',)",Molybdenum VI,
Molybdenum,"('air', 'urban air close to ground')",Molybdenum VI,
Molybdenum,"('water', 'ocean')",Molybdenum VI,
Molybdenum,"('water', 'ground-, long-term')",Molybdenum VI,
Molybdenum,"('air',)",Molybdenum VI,
Molybdenum,"('water',)",Molybdenum VI,
Molybdenum,"('water', 'ground-')",Molybdenum VI,
Molybdenum,"('air', 'low population density, long-term')",Molybdenum VI,
Molybdenum,"('soil', 'industrial')",Molybdenum VI,
Monosodium acid methanearsonate,"('soil', 'agricultural')",,
"N-(2,3-dichloro-4-hydroxyphenyl)-1-methylcyclohexane-1-carboxamide","('soil', 'agricultural')",,
N-octane,"('air',)",,
Naphthalene,"('water', 'ocean')",,
Naphthalene,"('air', 'urban air close to ground')",,"('air',)"
Nickel,"('air', 'urban air close to ground')",Nickel II,
Nickel,"('water', 'ocean')",Nickel II,
Nickel,"('air', 'non-urban air or from high stacks')",Nickel II,
Nickel,"('water',)",Nickel II,
Nickel,"('water', 'ground-, long-term')",Nickel II,
Nickel,"('water', 'ground-')",Nickel II,
Nickel,"('air',)",Nickel II,
Nickel,"('soil', 'industrial')",Nickel II,
Nickel,"('air', 'lower stratosphere + upper troposphere')",Nickel II,
Nickel,"('air', 'low population density, long-term')",Nickel II,
Nickel,"('water', 'surface water')",Nickel II,
Nickel,"('soil', 'agricultural')",Nickel II,
Nickel,"('soil',)",Nickel II,
"Nickel, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore","('natural resource', 'in ground')",Nickel,
"Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore","('natural resource', 'in ground')",Nickel,
"Nickel, resource correction","('natural resource', 'in ground')",Nickel,
Nitrate,"('soil', 'industrial')",,"('soil',)"
Nitric acid,"('water',)",,
Nitrogen dioxide,"('air',)",Nitrogen oxides,
"Nitrogen dioxide, RAF","('air',)",Nitrogen oxides,
Nitrogen monoxide,"('air',)",Nitrogen oxides,
"NMVOC, non-methane volatile organic compounds, unspecified origin","('air', 'non-urban air or from high stacks')","NMVOC, non-methane volatile organic compounds",
"NMVOC, non-methane volatile organic compounds, unspecified origin","('air', 'urban air close to ground')","NMVOC, non-methane volatile organic compounds",
"NMVOC, non-methane volatile organic compounds, unspecified origin","('air',)","NMVOC, non-methane volatile organic compounds",
"NMVOC, non-methane volatile organic compounds, unspecified origin","('air', 'lower stratosphere + upper troposphere')","NMVOC, non-methane volatile organic compounds",
"Noise, aircraft, freight","('non material emissions',)",,
"Noise, aircraft, passenger","('non material emissions',)",,
"Noise, rail, freight train","('non material emissions',)",,
"Noise, rail, passenger train, average","('non material emissions',)",,
"Noise, road, lorry, average","('non material emissions',)",,
"Noise, road, passenger car, average","('non material emissions',)",,
"Occupation, agriculture","('natural resource', 'land')","Occupation, annual crop",
"Occupation, agriculture, mosaic","('natural resource', 'land')","Occupation, annual crop",
"Occupation, annual crop, irrigated","('resources',)",,"('natural resource', 'land')"
"Occupation, annual crop, non-irrigated, diverse-intensive","('natural resource', 'land')","Occupation, annual crop, non-irrigated",
"Occupation, annual crop, non-irrigated, intensive","('resources',)",,"('natural resource', 'land')"
"Occupation, annual crop, organic","('natural resource', 'land')","Occupation, annual crop, irrigated",
"Occupation, dump site, benthos","('natural resource', 'land')","Occupation, dump site",
"Occupation, forest, extensive","('resources',)",,"('natural resource', 'land')"
"Occupation, forest, intensive, normal","('natural resource', 'land')","Occupation, forest, intensive",
"Occupation, forest, intensive, short-cycle","('natural resource', 'land')","Occupation, forest, intensive",
"Occupation, forest, unspecified","('resources',)","('natural resource', 'land')",
"Occupation, industrial area","('resources',)",,"('natural resource', 'land')"
"Occupation, industrial area","('natural resource', 'in ground')",,"('natural resource', 'land')"
"Occupation, industrial area, benthos","('natural resource', 'land')","Occupation, industrial area",
"Occupation, industrial area, built up","('natural resource', 'land')","Occupation, industrial area",
"Occupation, industrial area, built up","('resources',)","Occupation, industrial area","('natural resource', 'land')"
"Occupation, industrial area, vegetation","('resources',)","Occupation, industrial area","('natural resource', 'land')"
"Occupation, industrial area, vegetation","('natural resource', 'land')","Occupation, industrial area",
"Occupation, pasture, man made, organic","('natural resource', 'land')","Occupation, pasture, man made",
"Occupation, permanent crop, fruit, intensive","('natural resource', 'land')","Occupation, permanent crop",
"Occupation, sealed soil","('natural resource', 'land')","Occupation, unspecified",
"Occupation, traffic area","('resources',)",,"('natural resource', 'land')"
"Occupation, traffic area, rail network, CH","('natural resource', 'land')","Occupation, traffic area, rail network",
"Occupation, traffic area, rail/road embankment, CH","('natural resource', 'land')","Occupation, traffic area, rail/road embankment",
"Occupation, traffic area, road embankment","('natural resource', 'land')","Occupation, traffic area, rail/road embankment",
"Occupation, traffic area, road network","('resources',)",,"('natural resource', 'land')"
"Occupation, tropical rain forest","('natural resource', 'land')","Occupation, unspecified",
"Occupation, unspecified, used","('natural resource', 'land')","Occupation, unspecified",
"Occupation, urban","('resources',)",,"('natural resource', 'land')"
"Occupation, urban, discontinuously built","('resources',)",,"('natural resource', 'land')"
"Occupation, water bodies, artificial","('natural resource', 'land')","Occupation, lake, artificial",
"Occupation, water courses, artificial","('natural resource', 'land')","Occupation, river, artificial",
Octene (mixture of isomers),"('air',)",,
